Step,Volumes,Density
0,2.56e-19,0.46220297499999996
100,2.5573748e-19,0.4626774362522067
200,2.5485164999999997e-19,0.4642856406854733
300,2.5329613999999997e-19,0.46713685253948206
400,2.5117457999999995e-19,0.4710825498344618
500,2.4903477e-19,0.4751302864254658
600,2.4727114999999997e-19,0.4785190734948254
700,2.4561619e-19,0.4817433313333294
800,2.437895e-19,0.48535298525982457
900,2.4197723e-19,0.4889879994080434
1000,2.4028291e-19,0.4924360271814586
1100,2.3863532e-19,0.4958359123033422
1200,2.3710929999999995e-19,0.4990270799163087
1300,2.3581023999999995e-19,0.5017761807120845
1400,2.34584e-19,0.5043991133240118
1500,2.3333138e-19,0.5071069377809363
1600,2.3218943e-19,0.5096009822669361
1700,2.3114732e-19,0.5118984792901773
1800,2.3008439999999996e-19,0.5142632946866454
1900,2.2903079999999997e-19,0.5166290367933046
2000,2.2814044e-19,0.5186452765673635
2100,2.2733309e-19,0.5204871917238268
2200,2.2645772e-19,0.522499129638857
2300,2.2560987999999996e-19,0.5244626769004974
2400,2.2487057e-19,0.5261869599032012
2500,2.2413362999999997e-19,0.5279170359218293
2600,2.2329137e-19,0.5299083506899528
2700,2.2250942999999997e-19,0.5317705483313674
2800,2.218503e-19,0.5333504692127979
2900,2.2122348e-19,0.5348616774313467
3000,2.2060516e-19,0.5363608067916452
3100,2.2005132e-19,0.5377107558364113
3200,2.1962359e-19,0.5387579795048427
3300,2.1920906999999998e-19,0.5397767601495687
3400,2.1881901e-19,0.5407389495090028
3500,2.1852496e-19,0.541466574802256
3600,2.1822176999999996e-19,0.5422188702804491
3700,2.1776148e-19,0.5433649771300231
3800,2.1718577e-19,0.5448053139024716
3900,2.1662542e-19,0.5462145744483726
4000,2.1604179999999997e-19,0.5476901303358888
4100,2.1546777999999998e-19,0.549149212007475
4200,2.1497372e-19,0.5504112856213308
4300,2.1451279e-19,0.5515939706905122
4400,2.1401858999999997e-19,0.5528676812607727
4500,2.1350325e-19,0.5542021566416436
4600,2.1304044e-19,0.5554061078732282
4700,2.1258417999999998e-19,0.5565981513770215
4800,2.1208573e-19,0.557906284406782
4900,2.1157331999999999e-19,0.5592574791566346
5000,2.110747e-19,0.5605786084263059
5100,2.1058025999999998e-19,0.5618948404755507
5200,2.1001314999999997e-19,0.5634121558578594
5300,2.0946355999999998e-19,0.5648904353578255
5400,2.0898381e-19,0.566187216129326
5500,2.0858932e-19,0.5672580053475412
5600,2.0824073999999999e-19,0.568207554391134
5700,2.0790007e-19,0.569138632805655
5800,2.0753073e-19,0.5701515221384321
5900,2.0711626999999997e-19,0.5712924513366333
6000,2.0668182999999997e-19,0.5724932936775332
6100,2.0627192999999998e-19,0.5736309424166439
6200,2.0590779e-19,0.5746453866558423
6300,2.0552254999999997e-19,0.575722525825025
6400,2.0514776999999998e-19,0.5767743007881587
6500,2.0477145999999998e-19,0.5778342431118086
6600,2.0436604e-19,0.5789805468658099
6700,2.0394141e-19,0.5801860524549672
6800,2.0357389999999997e-19,0.5812334567447006
6900,2.0320575e-19,0.582286483527164
7000,2.0277404e-19,0.5835261831346852
7100,2.0236673e-19,0.5847006649759078
7200,2.0197308999999997e-19,0.5858402304980331
7300,2.0156718999999998e-19,0.5870199490303952
7400,2.0115536999999997e-19,0.5882217392456388
7500,2.0074689e-19,0.5894186535094017
