ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
36864
ITEM: BOX BOUNDS xy xz yz pp pp pp
0.0000000000000000e+00 6.0592154000000001e+01 5.7627459999999999e+00
0.0000000000000000e+00 8.8797443999999999e+01 4.7014079999999998e+00
0.0000000000000000e+00 1.1299516600000000e+02 2.6864975000000001e+01
ITEM: ATOMS id mol type x y z ix iy iz 
1 1 1 4.7123 3.21182 0.23125 0 0 0 
2 1 1 3.72112 3.21928 1.22694 0 0 0 
3 1 1 3.94527 2.57183 2.4539 0 0 0 
4 1 1 2.95518 2.58375 3.45129 0 0 0 
5 1 1 3.17813 1.94239 4.68258 0 0 0 
6 1 1 2.18059 1.95079 5.67072 0 0 0 
7 1 1 0.963034 2.60783 5.43663 0 0 0 
8 1 1 0.738981 3.25391 4.21228 0 0 0 
9 1 1 1.72981 3.24217 3.21603 0 0 0 
10 1 1 1.50552 3.88772 1.98886 0 0 0 
11 1 1 9.19059 30.727 112.001 0 0 -1 
12 1 2 5.6539 2.70184 0.40869 0 0 0 
13 1 2 4.88706 2.06219 2.63219 0 0 0 
14 1 2 4.11973 1.43681 4.87438 0 0 0 
15 1 2 8.11168 63.3791 6.61669 0 -1 0 
16 1 2 50.3223 2.61889 6.2027 -1 0 0 
17 1 2 49.9229 3.75918 4.03886 -1 0 0 
18 1 2 0.56386 4.39697 1.81025 0 0 0 
19 1 1 6.97545 31.3947 112.764 0 0 -1 
20 1 1 7.96663 31.3873 111.768 0 0 -1 
21 1 1 7.74247 32.0347 110.541 0 0 -1 
22 1 1 8.73256 32.0228 109.544 0 0 -1 
23 1 1 8.50962 32.6641 108.313 0 0 -1 
24 1 1 9.50715 32.6557 107.324 0 0 -1 
25 1 1 10.7247 31.9987 107.559 0 0 -1 
26 1 1 10.9488 31.3526 108.783 0 0 -1 
27 1 1 9.95794 31.3644 109.779 0 0 -1 
28 1 1 10.1822 30.7188 111.006 0 0 -1 
29 1 1 2.49714 3.87953 0.993921 0 0 0 
30 1 2 6.03385 31.9047 112.586 0 0 -1 
31 1 2 6.80069 32.5443 110.363 0 0 -1 
32 1 2 7.56803 33.1697 108.121 0 0 -1 
33 1 2 9.33882 33.1599 106.378 0 0 -1 
34 1 2 11.4935 31.9876 106.792 0 0 -1 
35 1 2 11.8928 30.8473 108.956 0 0 -1 
36 1 2 11.1239 30.2096 111.185 0 0 -1 
37 2 1 59.3732 88.3671 112.445 -1 -1 -1 
38 2 1 54.8944 61.3908 0.832398 -1 -1 0 
39 2 1 53.9019 60.8498 1.66591 -1 -1 0 
40 2 1 54.125 60.7343 3.04767 -1 -1 0 
41 2 1 53.1322 60.1896 3.87918 -1 -1 0 
42 2 1 53.3571 60.069 5.25798 -1 -1 0 
43 2 1 54.5763 60.4915 5.81117 -1 -1 0 
44 2 1 55.5734 61.0349 4.98498 -1 -1 0 
45 2 1 55.3506 61.1604 3.60186 -1 -1 0 
46 2 1 6.21361 61.7061 2.76785 0 -1 0 
47 2 1 54.602 26.9764 111.61 -1 0 -1 
48 2 2 58.4315 88.0334 112.021 -1 -1 -1 
49 2 2 52.9602 60.5174 1.24073 -1 -1 0 
50 2 2 52.1886 59.8574 3.45972 -1 -1 0 
51 2 2 52.5877 59.6423 5.89239 -1 -1 0 
52 2 2 54.7498 60.3951 6.8784 -1 -1 0 
53 2 2 6.38767 61.3551 5.42048 0 -1 0 
54 2 2 7.15569 62.0383 3.19271 0 -1 0 
55 2 1 1.21899 0.430305 0.550229 0 0 0 
56 2 1 5.69772 27.4066 112.163 0 0 -1 
57 2 1 6.69027 27.9476 111.329 0 0 -1 
58 2 1 6.46717 28.0632 109.947 0 0 -1 
59 2 1 7.45991 28.6078 109.116 0 0 -1 
60 2 1 7.23502 28.7285 107.737 0 0 -1 
61 2 1 6.01588 28.3059 107.184 0 0 -1 
62 2 1 5.01876 27.7625 108.01 0 0 -1 
63 2 1 5.24158 27.637 109.393 0 0 -1 
64 2 1 54.3785 27.0914 110.227 -1 0 -1 
65 2 1 5.99016 61.8211 1.38509 0 -1 0 
66 2 2 2.16067 0.764069 0.974489 0 0 0 
67 2 2 7.63191 28.2801 111.754 0 0 -1 
68 2 2 8.40355 28.94 109.535 0 0 -1 
69 2 2 8.00443 29.1551 107.103 0 0 -1 
70 2 2 5.84235 28.4024 106.117 0 0 -1 
71 2 2 54.2045 27.4423 107.575 -1 0 -1 
72 2 2 53.4365 26.7591 109.802 -1 0 -1 
73 3 1 5.29997 6.56994 14.3556 0 0 0 
74 3 1 4.3088 6.5774 15.3513 0 0 0 
75 3 1 4.53295 5.92995 16.5783 0 0 0 
76 3 1 3.54286 5.94187 17.5757 0 0 0 
77 3 1 3.7658 5.30051 18.807 0 0 0 
78 3 1 2.76827 5.30891 19.7951 0 0 0 
79 3 1 1.55071 5.96595 19.561 0 0 0 
80 3 1 1.32666 6.61204 18.3367 0 0 0 
81 3 1 2.31748 6.60029 17.3404 0 0 0 
82 3 1 2.0932 7.24584 16.1133 0 0 0 
83 3 1 5.07686 7.22016 13.1304 0 0 0 
84 3 2 6.24158 6.05997 14.5331 0 0 0 
85 3 2 5.47474 5.42031 16.7566 0 0 0 
86 3 2 4.70741 4.79493 18.9988 0 0 0 
87 3 2 8.69935 66.7372 20.7411 0 -1 0 
88 3 2 50.9099 5.97702 20.3271 -1 0 0 
89 3 2 50.5106 7.11731 18.1633 -1 0 0 
90 3 2 1.15154 7.75509 15.9346 0 0 0 
91 3 1 2.86171 7.88784 13.8932 0 0 0 
92 3 1 3.8529 7.8804 12.8974 0 0 0 
93 3 1 3.62874 8.52784 11.6705 0 0 0 
94 3 1 4.61883 8.51592 10.6731 0 0 0 
95 3 1 4.39588 9.1573 9.44181 0 0 0 
96 3 1 5.39342 9.14888 8.45369 0 0 0 
97 3 1 6.61099 8.49185 8.68776 0 0 0 
98 3 1 6.83503 7.84576 9.91211 0 0 0 
99 3 1 5.84421 7.85751 10.9084 0 0 0 
100 3 1 6.06849 7.21195 12.1355 0 0 0 
101 3 1 3.08481 7.23765 15.1183 0 0 0 
102 3 2 1.92012 8.39782 13.7157 0 0 0 
103 3 2 2.68696 9.03748 11.4922 0 0 0 
104 3 2 3.45429 9.66286 9.25002 0 0 0 
105 3 2 5.22509 9.65302 7.50771 0 0 0 
106 3 2 7.37975 8.48078 7.9217 0 0 0 
107 3 2 7.77909 7.34049 10.0855 0 0 0 
108 3 2 7.01016 6.7027 12.3141 0 0 0 
109 4 1 55.2594 64.8603 13.5742 -1 -1 0 
110 4 1 55.4821 64.7489 14.9568 -1 -1 0 
111 4 1 54.4896 64.208 15.7903 -1 -1 0 
112 4 1 54.7127 64.0924 17.1721 -1 -1 0 
113 4 1 53.7199 63.5478 18.0036 -1 -1 0 
114 4 1 53.9448 63.4271 19.3824 -1 -1 0 
115 4 1 55.1639 63.8496 19.9356 -1 -1 0 
116 4 1 56.1611 64.393 19.1094 -1 -1 0 
117 4 1 55.9382 64.5185 17.7263 -1 -1 0 
118 4 1 6.80129 65.0642 16.8922 0 -1 0 
119 4 1 50.4883 3.46951 12.7393 -1 0 0 
120 4 2 54.3177 64.5265 13.1499 -1 -1 0 
121 4 2 53.5479 63.8755 15.3651 -1 -1 0 
122 4 2 52.7763 63.2155 17.5841 -1 -1 0 
123 4 2 53.1754 63.0005 20.0168 -1 -1 0 
124 4 2 55.3375 63.7532 21.0028 -1 -1 0 
125 4 2 6.97535 64.7132 19.5449 0 -1 0 
126 4 2 7.74336 65.3964 17.3171 0 -1 0 
127 4 1 1.80667 3.78843 14.6746 0 0 0 
128 4 1 1.58399 3.89978 13.292 0 0 0 
129 4 1 2.57654 4.44074 12.4585 0 0 0 
130 4 1 2.35344 4.55633 11.0767 0 0 0 
131 4 1 3.34617 5.10095 10.2452 0 0 0 
132 4 1 3.12129 5.22162 8.86642 0 0 0 
133 4 1 1.90215 4.79907 8.31323 0 0 0 
134 4 1 0.905025 4.25568 9.13942 0 0 0 
135 4 1 1.12785 4.13018 10.5225 0 0 0 
136 4 1 50.2648 3.58454 11.3565 -1 0 0 
137 4 1 6.57784 65.1792 15.5095 0 -1 0 
138 4 2 2.74835 4.12219 15.0989 0 0 0 
139 4 2 3.51818 4.7732 12.8837 0 0 0 
140 4 2 4.28982 5.43317 10.6647 0 0 0 
141 4 2 3.8907 5.64823 8.23201 0 0 0 
142 4 2 1.72861 4.8955 7.24599 0 0 0 
143 4 2 50.0907 3.93549 8.70391 -1 0 0 
144 4 2 49.3227 3.25228 10.9317 -1 0 0 
145 5 1 5.88765 9.92806 28.48 0 0 0 
146 5 1 4.89648 9.93552 29.4757 0 0 0 
147 5 1 5.12062 9.28807 30.7027 0 0 0 
148 5 1 4.13054 9.29999 31.7001 0 0 0 
149 5 1 4.35348 8.65863 32.9314 0 0 0 
150 5 1 3.35594 8.66703 33.9195 0 0 0 
151 5 1 2.13839 9.32407 33.6854 0 0 0 
152 5 1 1.91433 9.97016 32.4611 0 0 0 
153 5 1 2.90516 9.95841 31.4648 0 0 0 
154 5 1 2.68088 10.604 30.2377 0 0 0 
155 5 1 5.66454 10.5783 27.2548 0 0 0 
156 5 2 6.82926 9.41809 28.6575 0 0 0 
157 5 2 6.06241 8.77843 30.881 0 0 0 
158 5 2 5.29508 8.15305 33.1232 0 0 0 
159 5 2 9.28703 70.0954 34.8655 0 -1 0 
160 5 2 51.4976 9.33514 34.4515 -1 0 0 
161 5 2 51.0983 10.4754 32.2877 -1 0 0 
162 5 2 1.73921 11.1132 30.059 0 0 0 
163 5 1 3.44939 11.246 28.0176 0 0 0 
164 5 1 4.44058 11.2385 27.0218 0 0 0 
165 5 1 4.21642 11.886 25.7949 0 0 0 
166 5 1 5.20651 11.874 24.7975 0 0 0 
167 5 1 4.98356 12.5154 23.5662 0 0 0 
168 5 1 5.9811 12.507 22.5781 0 0 0 
169 5 1 7.19866 11.85 22.8122 0 0 0 
170 5 1 7.4227 11.2039 24.0365 0 0 0 
171 5 1 6.43189 11.2156 25.0328 0 0 0 
172 5 1 6.65616 10.5701 26.2599 0 0 0 
173 5 1 3.67249 10.5958 29.2427 0 0 0 
174 5 2 2.50779 11.7559 27.8401 0 0 0 
175 5 2 3.27464 12.3956 25.6166 0 0 0 
176 5 2 4.04197 13.021 23.3744 0 0 0 
177 5 2 5.81276 13.0111 21.6321 0 0 0 
178 5 2 7.96743 11.8389 22.0461 0 0 0 
179 5 2 8.36677 10.6986 24.2099 0 0 0 
180 5 2 7.59784 10.0608 26.4385 0 0 0 
181 6 1 55.8471 68.2184 27.6986 -1 -1 0 
182 6 1 56.0698 68.1071 29.0812 -1 -1 0 
183 6 1 55.0772 67.5661 29.9147 -1 -1 0 
184 6 1 55.3003 67.4505 31.2965 -1 -1 0 
185 6 1 54.3076 66.9059 32.128 -1 -1 0 
186 6 1 54.5325 66.7852 33.5068 -1 -1 0 
187 6 1 55.7516 67.2078 34.06 -1 -1 0 
188 6 1 56.7487 67.7512 33.2338 -1 -1 0 
189 6 1 56.5259 67.8767 31.8506 -1 -1 0 
190 6 1 7.38896 68.4223 31.0166 0 -1 0 
191 6 1 51.0759 6.82763 26.8637 -1 0 0 
192 6 2 54.9054 67.8846 27.2743 -1 -1 0 
193 6 2 54.1356 67.2336 29.4895 -1 -1 0 
194 6 2 53.364 66.5737 31.7085 -1 -1 0 
195 6 2 53.7631 66.3586 34.1412 -1 -1 0 
196 6 2 55.9252 67.1113 35.1272 -1 -1 0 
197 6 2 7.56303 68.0713 33.6693 0 -1 0 
198 6 2 8.33104 68.7545 31.4415 0 -1 0 
199 6 1 2.39434 7.14655 28.799 0 0 0 
200 6 1 2.17167 7.2579 27.4164 0 0 0 
201 6 1 3.16421 7.79886 26.5829 0 0 0 
202 6 1 2.94112 7.91445 25.2011 0 0 0 
203 6 1 3.93385 8.45907 24.3696 0 0 0 
204 6 1 3.70897 8.57974 22.9908 0 0 0 
205 6 1 2.48982 8.15719 22.4376 0 0 0 
206 6 1 1.4927 7.6138 23.2638 0 0 0 
207 6 1 1.71553 7.4883 24.6469 0 0 0 
208 6 1 50.8525 6.94266 25.4809 -1 0 0 
209 6 1 7.16551 68.5373 29.6339 0 -1 0 
210 6 2 3.33602 7.48031 29.2233 0 0 0 
211 6 2 4.10585 8.13132 27.0081 0 0 0 
212 6 2 4.87749 8.79129 24.7891 0 0 0 
213 6 2 4.47838 9.00635 22.3564 0 0 0 
214 6 2 2.31629 8.25363 21.3704 0 0 0 
215 6 2 50.6784 7.29361 22.8283 -1 0 0 
216 6 2 49.9104 6.61041 25.0561 -1 0 0 
217 7 1 6.47533 13.2862 42.6044 0 0 0 
218 7 1 5.48415 13.2936 43.6001 0 0 0 
219 7 1 5.7083 12.6462 44.8271 0 0 0 
220 7 1 4.71821 12.6581 45.8245 0 0 0 
221 7 1 4.94116 12.0168 47.0558 0 0 0 
222 7 1 3.94362 12.0252 48.0439 0 0 0 
223 7 1 2.72606 12.6822 47.8098 0 0 0 
224 7 1 2.50201 13.3283 46.5855 0 0 0 
225 7 1 3.49283 13.3165 45.5892 0 0 0 
226 7 1 3.26855 13.9621 44.362 0 0 0 
227 7 1 6.25221 13.9364 41.3792 0 0 0 
228 7 2 7.41693 12.7762 42.7819 0 0 0 
229 7 2 6.65009 12.1366 45.0054 0 0 0 
230 7 2 5.88276 11.5112 47.2476 0 0 0 
231 7 2 9.8747 73.4535 48.9899 0 -1 0 
232 7 2 52.0853 12.6933 48.5759 -1 0 0 
233 7 2 51.686 13.8335 46.412 -1 0 0 
234 7 2 2.32689 14.4713 44.1834 0 0 0 
235 7 1 4.03707 14.6041 42.142 0 0 0 
236 7 1 5.02825 14.5966 41.1462 0 0 0 
237 7 1 4.80409 15.2441 39.9193 0 0 0 
238 7 1 5.79418 15.2322 38.9219 0 0 0 
239 7 1 5.57124 15.8735 37.6906 0 0 0 
240 7 1 6.56877 15.8651 36.7025 0 0 0 
241 7 1 7.78634 15.2081 36.9366 0 0 0 
242 7 1 8.01038 14.562 38.1609 0 0 0 
243 7 1 7.01956 14.5738 39.1572 0 0 0 
244 7 1 7.24384 13.9282 40.3843 0 0 0 
245 7 1 4.26017 13.9539 43.3671 0 0 0 
246 7 2 3.09547 15.1141 41.9645 0 0 0 
247 7 2 3.86231 15.7537 39.741 0 0 0 
248 7 2 4.62965 16.3791 37.4988 0 0 0 
249 7 2 6.40044 16.3693 35.7565 0 0 0 
250 7 2 8.5551 15.197 36.1705 0 0 0 
251 7 2 8.95444 14.0567 38.3343 0 0 0 
252 7 2 8.18552 13.4189 40.5629 0 0 0 
253 8 1 56.4348 71.5765 41.823 -1 -1 0 
254 8 1 56.6575 71.4652 43.2056 -1 -1 0 
255 8 1 55.6649 70.9242 44.0391 -1 -1 0 
256 8 1 55.888 70.8086 45.4209 -1 -1 0 
257 8 1 54.8953 70.264 46.2524 -1 -1 0 
258 8 1 55.1202 70.1433 47.6312 -1 -1 0 
259 8 1 56.3393 70.5659 48.1844 -1 -1 0 
260 8 1 57.3364 71.1093 47.3582 -1 -1 0 
261 8 1 57.1136 71.2348 45.975 -1 -1 0 
262 8 1 7.97664 71.7804 45.141 0 -1 0 
263 8 1 51.6636 10.1858 40.9881 -1 0 0 
264 8 2 55.4931 71.2428 41.3987 -1 -1 0 
265 8 2 54.7233 70.5918 43.6139 -1 -1 0 
266 8 2 53.9516 69.9318 45.8329 -1 -1 0 
267 8 2 54.3507 69.7167 48.2656 -1 -1 0 
268 8 2 56.5128 70.4694 49.2516 -1 -1 0 
269 8 2 8.1507 71.4295 47.7937 0 -1 0 
270 8 2 8.91872 72.1127 45.5659 0 -1 0 
271 8 1 2.98202 10.5047 42.9234 0 0 0 
272 8 1 2.75934 10.616 41.5408 0 0 0 
273 8 1 3.75189 11.157 40.7073 0 0 0 
274 8 1 3.52879 11.2726 39.3255 0 0 0 
275 8 1 4.52153 11.8172 38.494 0 0 0 
276 8 1 4.29664 11.9379 37.1152 0 0 0 
277 8 1 3.0775 11.5153 36.562 0 0 0 
278 8 1 2.08038 10.9719 37.3882 0 0 0 
279 8 1 2.3032 10.8464 38.7713 0 0 0 
280 8 1 51.4402 10.3008 39.6053 -1 0 0 
281 8 1 7.75319 71.8954 43.7583 0 -1 0 
282 8 2 3.9237 10.8384 43.3477 0 0 0 
283 8 2 4.69353 11.4894 41.1325 0 0 0 
284 8 2 5.46517 12.1494 38.9135 0 0 0 
285 8 2 5.06605 12.3645 36.4808 0 0 0 
286 8 2 2.90397 11.6117 35.4948 0 0 0 
287 8 2 51.2661 10.6517 36.9527 -1 0 0 
288 8 2 50.4981 9.96853 39.1805 -1 0 0 
289 9 1 7.063 16.6443 56.7288 0 0 0 
290 9 1 6.07183 16.6518 57.7245 0 0 0 
291 9 1 6.29597 16.0043 58.9515 0 0 0 
292 9 1 5.30589 16.0162 59.9489 0 0 0 
293 9 1 5.52883 15.3749 61.1802 0 0 0 
294 9 1 4.53129 15.3833 62.1683 0 0 0 
295 9 1 3.31374 16.0403 61.9342 0 0 0 
296 9 1 3.08968 16.6864 60.7099 0 0 0 
297 9 1 4.08051 16.6747 59.7136 0 0 0 
298 9 1 3.85623 17.3202 58.4864 0 0 0 
299 9 1 6.83989 17.2945 55.5036 0 0 0 
300 9 2 8.00461 16.1343 56.9063 0 0 0 
301 9 2 7.23776 15.4947 59.1298 0 0 0 
302 9 2 6.47043 14.8693 61.372 0 0 0 
303 9 2 10.4624 76.8116 63.1143 0 -1 0 
304 9 2 52.673 16.0514 62.7003 -1 0 0 
305 9 2 52.2736 17.1917 60.5364 -1 0 0 
306 9 2 2.91456 17.8295 58.3078 0 0 0 
307 9 1 4.62474 17.9622 56.2664 0 0 0 
308 9 1 5.61593 17.9548 55.2706 0 0 0 
309 9 1 5.39177 18.6022 54.0437 0 0 0 
310 9 1 6.38186 18.5903 53.0463 0 0 0 
311 9 1 6.15891 19.2317 51.815 0 0 0 
312 9 1 7.15645 19.2232 50.8269 0 0 0 
313 9 1 8.37401 18.5662 51.061 0 0 0 
314 9 1 8.59805 17.9201 52.2853 0 0 0 
315 9 1 7.60724 17.9319 53.2816 0 0 0 
316 9 1 7.83152 17.2863 54.5087 0 0 0 
317 9 1 4.84784 17.312 57.4915 0 0 0 
318 9 2 3.68315 18.4722 56.0889 0 0 0 
319 9 2 4.44999 19.1118 53.8654 0 0 0 
320 9 2 5.21732 19.7372 51.6232 0 0 0 
321 9 2 6.98811 19.7274 49.8809 0 0 0 
322 9 2 9.14278 18.5551 50.2949 0 0 0 
323 9 2 9.54212 17.4149 52.4587 0 0 0 
324 9 2 8.77319 16.7771 54.6873 0 0 0 
325 10 1 57.0225 74.9346 55.9474 -1 -1 0 
326 10 1 57.2451 74.8233 57.33 -1 -1 0 
327 10 1 56.2526 74.2823 58.1635 -1 -1 0 
328 10 1 56.4757 74.1667 59.5453 -1 -1 0 
329 10 1 55.483 73.6221 60.3768 -1 -1 0 
330 10 1 55.7078 73.5015 61.7556 -1 -1 0 
331 10 1 56.927 73.924 62.3088 -1 -1 0 
332 10 1 57.9241 74.4674 61.4826 -1 -1 0 
333 10 1 57.7013 74.5929 60.0994 -1 -1 0 
334 10 1 8.56431 75.1385 59.2654 0 -1 0 
335 10 1 52.2513 13.5439 55.1125 -1 0 0 
336 10 2 56.0808 74.6009 55.5231 -1 -1 0 
337 10 2 55.3109 73.9499 57.7383 -1 -1 0 
338 10 2 54.5393 73.2899 59.9573 -1 -1 0 
339 10 2 54.9384 73.0748 62.39 -1 -1 0 
340 10 2 57.1005 73.8276 63.376 -1 -1 0 
341 10 2 8.73838 74.7876 61.9181 0 -1 0 
342 10 2 9.50639 75.4708 59.6903 0 -1 0 
343 10 1 3.5697 13.8628 57.0478 0 0 0 
344 10 1 3.34702 13.9741 55.6652 0 0 0 
345 10 1 4.33956 14.5151 54.8317 0 0 0 
346 10 1 4.11647 14.6307 53.4499 0 0 0 
347 10 1 5.1092 15.1753 52.6184 0 0 0 
348 10 1 4.88432 15.296 51.2396 0 0 0 
349 10 1 3.66518 14.8734 50.6864 0 0 0 
350 10 1 2.66805 14.33 51.5126 0 0 0 
351 10 1 2.89088 14.2045 52.8957 0 0 0 
352 10 1 52.0278 13.6589 53.7297 -1 0 0 
353 10 1 8.34087 75.2536 57.8827 0 -1 0 
354 10 2 4.51137 14.1966 57.4721 0 0 0 
355 10 2 5.28121 14.8476 55.2569 0 0 0 
356 10 2 6.05284 15.5075 53.0379 0 0 0 
357 10 2 5.65373 15.7226 50.6052 0 0 0 
358 10 2 3.49164 14.9699 49.6192 0 0 0 
359 10 2 51.8538 14.0099 51.0771 -1 0 0 
360 10 2 51.0858 13.3266 53.3049 -1 0 0 
361 11 1 7.65068 20.0024 70.8532 0 0 0 
362 11 1 6.6595 20.0099 71.8489 0 0 0 
363 11 1 6.88365 19.3624 73.0759 0 0 0 
364 11 1 5.89356 19.3744 74.0733 0 0 0 
365 11 1 6.11651 18.733 75.3046 0 0 0 
366 11 1 5.11897 18.7414 76.2927 0 0 0 
367 11 1 3.90141 19.3984 76.0586 0 0 0 
368 11 1 3.67736 20.0445 74.8343 0 0 0 
369 11 1 4.66819 20.0328 73.838 0 0 0 
370 11 1 4.4439 20.6783 72.6108 0 0 0 
371 11 1 7.42757 20.6526 69.628 0 0 0 
372 11 2 8.59228 19.4925 71.0307 0 0 0 
