ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
2304
ITEM: BOX BOUNDS xy xz yz pp pp pp
0.0000000000000000e+00 2.9120725000000000e+01 2.8813730000000000e+00
0.0000000000000000e+00 3.7682479000000001e+01 1.1753520000000000e+00
0.0000000000000000e+00 2.8248791000000001e+01 6.7162439999999997e+00
ITEM: ATOMS id mol type x y z ix iy iz 
105 3 2 5.22509 9.65302 7.50771 0 0 0 
106 3 2 7.37975 8.48078 7.9217 0 0 0 
107 3 2 7.77909 7.34049 10.0855 0 0 0 
108 3 2 7.01016 6.7027 12.3141 0 0 0 
109 4 1 27.3141 33.894 13.5742 -1 -1 0 
110 4 1 27.5367 33.7827 14.9568 -1 -1 0 
111 4 1 26.5442 33.2417 15.7903 -1 -1 0 
112 4 1 26.7673 33.1261 17.1721 -1 -1 0 
113 4 1 25.7745 32.5815 18.0036 -1 -1 0 
114 4 1 25.9994 32.4608 19.3824 -1 -1 0 
115 4 1 27.2186 32.8834 19.9356 -1 -1 0 
116 4 1 28.2157 33.4268 19.1094 -1 -1 0 
117 4 1 27.9929 33.5523 17.7263 -1 -1 0 
118 4 1 3.91991 34.0979 16.8922 0 -1 0 
119 4 1 25.4243 3.46951 12.7393 -1 0 0 
120 4 2 26.3724 33.5603 13.1499 -1 -1 0 
121 4 2 25.6025 32.9093 15.3651 -1 -1 0 
122 4 2 24.8309 32.2493 17.5841 -1 -1 0 
123 4 2 25.23 32.0342 20.0168 -1 -1 0 
124 4 2 27.3921 32.787 21.0028 -1 -1 0 
125 4 2 4.09398 33.747 19.5449 0 -1 0 
126 4 2 4.86199 34.4302 17.3171 0 -1 0 
127 4 1 1.80667 3.78843 14.6746 0 0 0 
128 4 1 1.58399 3.89978 13.292 0 0 0 
129 4 1 2.57654 4.44074 12.4585 0 0 0 
130 4 1 2.35344 4.55633 11.0767 0 0 0 
131 4 1 3.34617 5.10095 10.2452 0 0 0 
