ITEM: TIMESTEP
5000
ITEM: NUMBER OF ATOMS
36864
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.2920507710863542e+00 6.1729010299258675e+01 5.5494495383062645e+00
1.1461529366084957e+00 8.7983299794646427e+01 4.7595099898656983e+00
-6.9822104248359396e-01 1.1369338704248413e+02 2.7196983731255067e+01
ITEM: ATOMS id mol type x y z ix iy iz 
106 3 2 6.18814 9.01664 7.25219 0 0 0 
107 3 2 6.63676 7.99166 9.49319 0 0 0 
108 3 2 5.9152 7.54078 11.893 0 0 0 
109 4 1 56.3222 63.6526 12.9662 -1 -1 0 
110 4 1 56.5624 63.4177 14.3226 -1 -1 0 
111 4 1 55.5313 62.9406 15.1867 -1 -1 0 
112 4 1 55.7089 62.8568 16.5609 -1 -1 0 
113 4 1 54.6928 62.2442 17.3559 -1 -1 0 
114 4 1 54.9052 62.2025 18.7693 -1 -1 0 
115 4 1 56.0912 62.6583 19.3649 -1 -1 0 
116 4 1 57.0933 63.1354 18.5575 -1 -1 0 
117 4 1 56.9166 63.2475 17.1708 -1 -1 0 
118 4 1 5.24762 63.6989 16.335 0 -1 0 
119 4 1 51.7811 4.44559 12.1619 -1 0 0 
120 4 2 55.3446 63.455 12.5527 -1 -1 0 
121 4 2 54.6365 62.5857 14.7165 -1 -1 0 
122 4 2 53.8415 61.6923 16.9594 -1 -1 0 
123 4 2 54.1816 61.7455 19.4377 -1 -1 0 
124 4 2 56.2674 62.4759 20.3816 -1 -1 0 
125 4 2 5.28163 63.5794 18.9731 0 -1 0 
126 4 2 6.20099 64.0155 16.7205 0 -1 0 
127 4 1 0.483813 4.74747 14.1345 0 0 0 
128 4 1 0.292942 4.82271 12.7384 0 0 0 
129 4 1 1.28691 5.30319 11.8468 0 0 0 
130 4 1 1.0701 5.29907 10.4561 0 0 0 
131 4 1 2.06527 5.74949 9.58849 0 0 0 
132 4 1 1.86418 5.87447 8.20892 0 0 0 
133 4 1 0.644992 5.50088 7.63858 0 0 0 
134 4 1 -0.411352 5.1546 8.52394 0 0 0 
135 4 1 -0.157251 5.02074 9.93131 0 0 0 
136 4 1 51.5906 4.51976 10.7911 -1 0 0 
137 4 1 5.03182 63.8009 14.9473 0 -1 0 
138 4 2 1.43283 5.03561 14.5523 0 0 0 
139 4 2 2.19257 5.62543 12.2988 0 0 0 
140 4 2 3.05273 6.04692 10.0014 0 0 0 
141 4 2 2.58793 6.28135 7.59186 0 0 0 
142 4 2 0.506779 5.47884 6.59046 0 0 0 
143 4 2 51.406 4.87794 8.05367 -1 0 0 
144 4 2 50.5995 4.24765 10.4237 -1 0 0 
145 5 1 5.02415 10.9081 28.1615 0 0 0 
146 5 1 3.99224 10.9344 29.0828 0 0 0 
147 5 1 4.18874 10.3336 30.3486 0 0 0 
148 5 1 3.24807 10.4674 31.3464 0 0 0 
149 5 1 3.52564 9.90179 32.6151 0 0 0 
150 5 1 2.50124 9.91345 33.5956 0 0 0 
151 5 1 1.20192 10.4097 33.3711 0 0 0 
152 5 1 1.03666 11.0896 32.1385 0 0 0 
153 5 1 1.96984 11.0784 31.0546 0 0 0 
154 5 1 1.72469 11.602 29.7862 0 0 0 
155 5 1 4.77955 11.4685 26.8771 0 0 0 
156 5 2 5.91764 10.399 28.419 0 0 0 
157 5 2 5.07351 9.83755 30.5818 0 0 0 
158 5 2 4.42883 9.43269 32.8353 0 0 0 
159 5 2 8.3242 68.9706 34.4537 0 -1 0 
160 5 2 0.477141 10.4793 34.2673 0 0 0 
161 5 2 52.7849 11.5706 31.9561 -1 0 0 
162 5 2 0.817872 12.1213 29.6318 0 0 0 
163 5 1 2.51832 12.1088 27.5313 0 0 0 
164 5 1 3.52971 12.0444 26.5751 0 0 0 
165 5 1 3.26777 12.483 25.2701 0 0 0 
166 5 1 4.31107 12.4954 24.2888 0 0 0 
167 5 1 4.12277 12.9287 22.903 0 0 0 
168 5 1 5.20178 12.9829 21.9672 0 0 0 
169 5 1 6.52584 12.7423 22.4271 0 0 0 
170 5 1 6.66042 12.146 23.7249 0 0 0 
171 5 1 5.64521 12.1144 24.6795 0 0 0 
172 5 1 5.8806 11.5107 25.9452 0 0 0 
173 5 1 2.71855 11.5921 28.7843 0 0 0 
174 5 2 1.56421 12.5064 27.1991 0 0 0 
175 5 2 2.2326 12.7897 25.0329 0 0 0 
176 5 2 3.12497 13.0963 22.5809 0 0 0 
177 5 2 5.05175 13.2878 20.9045 0 0 0 
178 5 2 7.47641 12.7624 21.818 0 0 0 
179 5 2 7.62592 11.794 24.041 0 0 0 
180 5 2 6.83027 11.1068 26.2641 0 0 0 
181 6 1 56.8801 67.0721 27.9263 -1 -1 0 
182 6 1 57.1674 67.0218 29.332 -1 -1 0 
183 6 1 56.2619 66.3944 30.2305 -1 -1 0 
184 6 1 56.6359 66.241 31.5887 -1 -1 0 
185 6 1 55.7714 65.7136 32.5409 -1 -1 0 
186 6 1 56.1775 65.5658 33.8537 -1 -1 0 
187 6 1 57.4538 65.938 34.2935 -1 -1 0 
188 6 1 5.56856 66.5558 33.3511 0 -1 0 
189 6 1 57.9111 66.7051 31.9801 -1 -1 0 
190 6 1 6.11339 67.1715 31.077 0 -1 0 
191 6 1 52.2452 7.96518 26.9506 -1 0 0 
192 6 2 55.9726 66.6594 27.5611 -1 -1 0 
193 6 2 55.1945 66.2076 30.0281 -1 -1 0 
194 6 2 54.8015 65.4639 32.2227 -1 -1 0 
195 6 2 55.4621 65.0538 34.5223 -1 -1 0 
196 6 2 57.6418 65.8103 35.3036 -1 -1 0 
197 6 2 6.51079 66.91 33.6919 0 -1 0 
198 6 2 7.16513 67.3056 31.4094 0 -1 0 
199 6 1 1.16028 8.17081 28.7892 0 0 0 
200 6 1 0.832278 8.31116 27.4291 0 0 0 
201 6 1 1.8014 8.82282 26.5382 0 0 0 
202 6 1 1.43799 8.76882 25.1545 0 0 0 
203 6 1 2.4585 9.16776 24.283 0 0 0 
204 6 1 2.25126 9.00787 22.9124 0 0 0 
205 6 1 1.13065 8.40967 22.4006 0 0 0 
206 6 1 0.120565 8.03897 23.2887 0 0 0 
207 6 1 0.255363 8.22487 24.6639 0 0 0 
208 6 1 51.9584 7.90949 25.5933 -1 0 0 
209 6 1 5.75402 67.3565 29.746 0 -1 0 
210 6 2 2.13142 8.42065 29.1552 0 0 0 
211 6 2 2.84986 8.99269 26.8578 0 0 0 
212 6 2 3.40403 9.65496 24.5565 0 0 0 
213 6 2 3.09582 9.18649 22.263 0 0 0 
214 6 2 0.978054 8.24916 21.2685 0 0 0 
215 6 2 51.9176 7.50987 22.892 -1 0 0 
216 6 2 56.6684 66.9363 25.2254 -1 -1 0 
217 7 1 4.89993 14.2491 42.3471 0 0 0 
218 7 1 3.9444 14.3555 43.401 0 0 0 
219 7 1 4.15588 13.7277 44.646 0 0 0 
220 7 1 3.18926 13.7189 45.6918 0 0 0 
221 7 1 3.47002 13.0094 46.8752 0 0 0 
222 7 1 2.52104 12.9693 47.8901 0 0 0 
223 7 1 1.20503 13.5703 47.7494 0 0 0 
224 7 1 0.954366 14.3405 46.5883 0 0 0 
225 7 1 1.9525 14.4278 45.5902 0 0 0 
226 7 1 1.758 15.0139 44.3024 0 0 0 
227 7 1 4.66834 14.9825 41.2126 0 0 0 
228 7 2 5.84214 13.6404 42.3647 0 0 0 
229 7 2 5.09916 13.1486 44.751 0 0 0 
230 7 2 4.37104 12.5745 47.0894 0 0 0 
231 7 2 8.29754 72.0795 48.7905 0 -1 0 
232 7 2 53.225 13.4611 48.492 -1 0 0 
233 7 2 52.6564 14.5525 46.3673 -1 0 0 
234 7 2 53.4518 15.3783 44.0638 -1 0 0 
235 7 1 2.43949 15.6911 42.0688 0 0 0 
236 7 1 3.46082 15.6516 41.0098 0 0 0 
237 7 1 3.27561 16.3738 39.869 0 0 0 
238 7 1 4.19126 16.4813 38.8347 0 0 0 
239 7 1 3.9943 17.3049 37.716 0 0 0 
240 7 1 5.03593 17.3805 36.7477 0 0 0 
241 7 1 6.20424 16.7244 36.9972 0 0 0 
242 7 1 6.36367 15.8859 38.0496 0 0 0 
243 7 1 5.39455 15.8442 39.0487 0 0 0 
244 7 1 5.64602 15.043 40.1911 0 0 0 
245 7 1 2.68919 14.9173 43.218 0 0 0 
246 7 2 1.49215 16.2722 41.8933 0 0 0 
247 7 2 2.37787 16.8997 39.7628 0 0 0 
248 7 2 3.08576 17.8709 37.587 0 0 0 
249 7 2 4.8436 18.0221 35.8933 0 0 0 
250 7 2 6.91694 16.7013 36.2751 0 0 0 
251 7 2 7.20474 15.2864 38.0813 0 0 0 
252 7 2 6.63784 14.5992 40.4102 0 0 0 
253 8 1 57.1636 70.4438 41.8674 -1 -1 0 
254 8 1 57.3582 70.4346 43.2959 -1 -1 0 
255 8 1 56.3386 69.9575 44.1347 -1 -1 0 
256 8 1 56.6079 69.8258 45.5232 -1 -1 0 
257 8 1 55.6302 69.2702 46.3265 -1 -1 0 
258 8 1 55.9788 68.985 47.6598 -1 -1 0 
259 8 1 57.1946 69.3473 48.2176 -1 -1 0 
